#------------------------------------------------------------------
# HARP 2007 data for Ta
#θ min θ max p min p max d^2\sig(pi-) / (dpdθ)
# (rad) (rad) (GeV/c) (GeV/c) [b/(rad GeV/c)]
#------------------------------------------------------------------
#                    3 GeV/c     5 GeV/c    8 GeV/c  12 GeV/c
#------------------------------------------------------------------
# tmin tmax pmin pmax  x3    ex3   x5  ex5   x8   ex8  x12 ex12
1.55 1.75 0.40 0.45 0.057 0.016 0.134 0.016 0.195 0.016 0.345 0.031
1.55 1.75 0.45 0.50 0.040 0.012 0.101 0.013 0.139 0.012 0.251 0.023

1.75 1.95 0.10 0.15 0.71 0.12 1.27 0.22 1.34 0.21 1.99 0.31
1.75 1.95 0.15 0.20 0.48 0.06 1.04 0.08 1.20 0.09 1.64 0.12
1.75 1.95 0.20 0.25 0.30 0.05 0.55 0.05 0.81 0.06 1.06 0.09
1.75 1.95 0.25 0.30 0.180 0.033 0.285 0.034 0.46 0.05 0.58 0.05
1.75 1.95 0.30 0.35 0.112 0.028 0.199 0.024 0.241 0.027 0.38 0.04
1.75 1.95 0.35 0.40 0.054 0.017 0.138 0.019 0.200 0.016 0.241 0.024
1.75 1.95 0.40 0.45 0.038 0.014 0.096 0.014 0.175 0.015 0.186 0.021
1.75 1.95 0.45 0.50 0.026 0.012 0.069 0.012 0.118 0.014 0.107 0.016

1.95 2.15 0.10 0.15 0.51  0.11  1.23  0.18  1.29  0.16  1.78  0.28
1.95 2.15 0.15 0.20 0.44  0.06  0.76  0.07  0.98  0.06  1.31  0.09
1.95 2.15 0.20 0.25 0.24  0.05  0.38  0.04  0.59  0.04  0.68  0.07
1.95 2.15 0.25 0.30 0.080 0.030 0.198 0.030 0.34  0.05  0.383 0.034
1.95 2.15 0.30 0.35 0.020 0.010 0.128 0.019 0.148 0.017 0.285 0.034
1.95 2.15 0.35 0.40 0.019 0.010 0.114 0.020 0.124 0.014 0.147 0.023
1.95 2.15 0.40 0.45 0.034 0.017 0.056 0.015 0.126 0.016 0.113 0.017
1.95 2.15 0.45 0.50 0.037 0.018 0.032 0.010 0.091 0.014 0.111 0.017
