#------------------------------------------------------------------
# HARP 2007 Ta data
# θ min θ max p min p max d 2 σ π + / (dpdθ)
# (rad) (rad) (GeV/c) (GeV/c) [b/(rad GeV/c)]
#------------------------------------------------------------------
#                     3 GeV/c     5 GeV/c      8 GeV/c    12 GeV/c
#------------------------------------------------------------------
# tmin tmax pmin pmax  x3    ex3   x5   ex5    x8   ex8   x12   ex12
1.55 1.75 0.40 0.45 0.046 0.012 0.119 0.020 0.218 0.022 0.228 0.023
1.55 1.75 0.45 0.50 0.030 0.009 0.071 0.014 0.149 0.018 0.169 0.020
1.75 1.95 0.10 0.15 0.69  0.13  0.93  0.19  1.14  0.19  1.39  0.23
1.75 1.95 0.15 0.20 0.68  0.07  1.08  0.08  1.27  0.09  1.57  0.11
1.75 1.95 0.20 0.25 0.41  0.05  0.74  0.06  0.94  0.06  1.14  0.08
1.75 1.95 0.25 0.30 0.24  0.04  0.35  0.05  0.49  0.05  0.69  0.08
1.75 1.95 0.30 0.35 0.113 0.024 0.182 0.023 0.309 0.027 0.31  0.05
1.75 1.95 0.35 0.40 0.057 0.018 0.124 0.017 0.187 0.019 0.198 0.022
1.75 1.95 0.40 0.45 0.07  0.04  0.087 0.015 0.111 0.017 0.152 0.019
1.75 1.95 0.45 0.50 0.019 0.009 0.046 0.012 0.065 0.012 0.098 0.020
1.95 2.15 0.10 0.15 0.61  0.12  0.82  0.14  1.05  0.16  1.33  0.20
1.95 2.15 0.15 0.20 0.53  0.06  0.73  0.06  1.02  0.05  1.07  0.07
1.95 2.15 0.20 0.25 0.20  0.04  0.45  0.04  0.69  0.05  0.75  0.06
1.95 2.15 0.25 0.30 0.118 0.027 0.24  0.04  0.33  0.04  0.36  0.05
1.95 2.15 0.30 0.35 0.064 0.022 0.098 0.021 0.172 0.022 0.162 0.021
1.95 2.15 0.35 0.40 0.016 0.009 0.062 0.011 0.098 0.015 0.109 0.018
1.95 2.15 0.40 0.45 0.011 0.007 0.050 0.012 0.049 0.012 0.064 0.014
1.95 2.15 0.45 0.50 0.011 0.009 0.027 0.010 0.025 0.007 0.034 0.009
